0,1,2,3,4,5,6,7,8,9,10,11,12,13
-0.41,0.91,0.24,1.34,-0.4,-1.46,0.25,-1.0,5.248422306613161,-0.17,-2.31,765.52,-8.34,82.18
-0.48,0.88,0.25,1.52,-0.43,-1.69,0.3,-1.02,2.8618006687904582,2.29,-5.72,1217.49,-24.85,201.3
-0.09,1.0,0.05,1.53,-0.09,-1.68,0.06,-1.11,9.67102886003278,5.95,-1.69,-136.93,-56.48,161.65
-0.49,0.87,0.26,1.86,-0.44,-2.12,0.31,-1.1,0.7174080877936984,0.99,-14.1,1623.02,-84.22,185.25
-0.46,0.89,0.25,1.34,-0.42,-1.47,0.29,-0.99,1.084779002427071,-0.38,-1.92,1536.17,70.99,179.76
-0.13,0.99,0.07,1.62,-0.12,-1.8,0.08,-1.13,2.164771780204904,5.15,-3.68,1372.76,44.33,161.86
-0.1,1.0,0.06,1.08,-0.09,-1.12,0.06,-1.01,1.4589298256766547,4.39,-3.08,1465.33,-68.85,181.39
-0.25,0.97,0.14,1.35,-0.24,-1.46,0.16,-1.05,6.347205441644007,2.5,-3.18,518.61,-57.38,108.32
-0.15,0.99,0.09,1.43,-0.15,-1.56,0.09,-1.08,9.68189233400574,4.18,-1.47,-133.77,-50.65,117.24
-0.43,0.9,0.25,1.19,-0.41,-1.27,0.26,-0.96,6.365052669548199,1.6,0.57,526.83,48.84,122.24
-0.12,0.99,0.06,1.87,-0.1,-2.1,0.07,-1.19,9.6759031229364,7.02,1.48,-131.72,23.2,164.69
-0.06,1.0,0.03,1.01,-0.06,-1.03,0.04,-0.99,6.785460658337794,2.97,-0.77,440.05,-24.96,113.83
-0.08,1.0,0.05,1.29,-0.08,-1.38,0.05,-1.06,2.558925936977876,5.21,-4.24,1281.96,-50.7,173.54
-0.32,0.95,0.19,1.19,-0.32,-1.26,0.2,-0.99,6.494529846346041,3.21,-2.15,504.13,-44.28,153.18
-0.33,0.94,0.18,1.76,-0.3,-1.98,0.2,-1.13,1.3305828481702209,4.83,-4.38,1559.1,84.42,217.44
-0.2,0.98,0.13,1.05,-0.21,-1.08,0.12,-0.99,2.554694397669046,1.18,2.07,1289.56,89.9,121.58
-0.22,0.97,0.13,2.02,-0.21,-2.3,0.14,-1.21,8.451252836991353,0.82,-2.93,106.73,-47.98,24.03
-0.36,0.93,0.19,1.69,-0.33,-1.89,0.22,-1.1,3.4050106017251656,4.04,-2.81,1093.33,54.36,184.98
-0.26,0.97,0.16,1.05,-0.26,-1.09,0.16,-0.98,5.602942642900399,2.32,0.46,693.96,30.08,138.36
-0.47,0.88,0.28,1.23,-0.47,-1.33,0.29,-0.95,5.066696202692006,0.14,0.6,799.65,73.71,118.77
-0.23,0.97,0.14,1.25,-0.23,-1.33,0.14,-1.03,3.246841687833567,2.28,0.75,1159.12,81.8,143.89
-0.15,0.99,0.08,1.77,-0.13,-1.98,0.1,-1.16,8.366107768667746,1.34,-0.68,124.77,-0.6,36.97
-0.38,0.93,0.2,1.51,-0.34,-1.67,0.24,-1.06,8.81514711580952,3.07,-0.44,36.26,-7.59,91.23
-0.1,0.99,0.06,1.39,-0.1,-1.5,0.06,-1.08,0.5908687272288038,6.97,-4.53,1701.84,-5.52,228.58
-0.29,0.96,0.15,1.46,-0.26,-1.59,0.18,-1.07,7.319183754909327,5.3,-0.15,343.22,24.24,174.11
-0.55,0.83,0.29,1.73,-0.49,-1.96,0.35,-1.04,4.148034370907844,3.06,-1.38,989.41,97.8,199.21
-0.53,0.85,0.31,1.66,-0.51,-1.88,0.32,-1.03,5.0030172659645435,3.02,-5.58,796.57,-40.72,177.42
-0.41,0.91,0.24,1.34,-0.4,-1.46,0.25,-1.0,2.9696661832486626,-0.4,-4.19,1230.5,-24.56,127.36
-0.12,0.99,0.06,1.87,-0.1,-2.1,0.07,-1.19,6.8078566291715,7.17,-0.89,427.2,32.2,175.23
-0.43,0.9,0.25,1.72,-0.41,-1.94,0.26,-1.09,3.1325671101999983,1.31,-3.46,1192.8,60.35,147.03
-0.47,0.88,0.28,1.23,-0.47,-1.33,0.29,-0.95,1.152449196464359,-2.3,-0.33,1595.42,98.02,157.05
-0.08,1.0,0.05,1.48,-0.08,-1.62,0.05,-1.1,4.945062593118798,6.23,-3.43,788.12,-29.02,183.74
-0.23,0.97,0.14,1.25,-0.23,-1.33,0.14,-1.03,7.56312968832172,2.92,0.93,289.49,44.75,111.7
-0.23,0.97,0.12,1.83,-0.2,-2.05,0.14,-1.17,1.7554791872237463,4.34,-11.23,1427.44,-81.24,161.96
-0.32,0.95,0.19,1.16,-0.31,-1.22,0.19,-0.99,6.536785000507088,3.54,-0.13,485.4,16.38,164.36
-0.47,0.88,0.28,1.23,-0.47,-1.33,0.29,-0.95,3.939483864395994,-0.54,0.35,1028.81,80.71,129.8
-0.12,0.99,0.06,1.83,-0.11,-2.06,0.08,-1.18,5.936260166539426,6.74,-2.66,602.99,8.37,169.66
-0.25,0.97,0.15,1.05,-0.25,-1.09,0.15,-0.98,0.9730570681434891,2.83,-4.2,1584.99,-101.06,216.34
-0.49,0.87,0.28,1.83,-0.46,-2.09,0.3,-1.09,6.350615255084676,0.82,-1.56,536.15,37.63,77.69
-0.33,0.94,0.18,1.76,-0.3,-1.98,0.2,-1.13,0.3866964370741677,4.49,-4.65,1750.98,102.06,221.62
-0.36,0.93,0.19,1.69,-0.33,-1.89,0.22,-1.1,3.012988118530674,3.75,-2.98,1169.94,59.08,183.56
-0.12,0.99,0.06,1.87,-0.1,-2.1,0.07,-1.19,9.076287205426723,7.05,1.0,-14.87,25.09,166.9
-0.38,0.92,0.23,0.95,-0.38,-0.97,0.23,-0.92,4.721430113711451,-0.17,-0.43,830.41,-9.38,105.57
-0.1,1.0,0.06,1.08,-0.09,-1.12,0.06,-1.01,5.4752315831045815,4.95,-2.18,684.91,-59.13,184.71
-0.42,0.91,0.23,1.66,-0.38,-1.86,0.27,-1.08,6.168328942721554,3.41,-1.67,579.06,24.16,144.23
-0.25,0.97,0.14,1.57,-0.23,-1.74,0.16,-1.1,3.8023766181263854,3.18,-4.74,1051.82,-20.93,142.55
-0.48,0.88,0.25,1.52,-0.43,-1.69,0.3,-1.02,5.145896142009791,3.34,-4.27,764.45,-36.94,179.96
-0.32,0.95,0.19,1.19,-0.32,-1.26,0.2,-0.99,2.111523612128198,0.84,-3.03,1386.03,-26.14,158.59
-0.19,0.98,0.11,1.24,-0.19,-1.32,0.12,-1.04,9.556800249720267,0.97,0.92,-113.3,25.54,25.9
-0.4,0.92,0.23,1.47,-0.38,-1.63,0.25,-1.04,3.2872373244471453,0.13,-2.22,1110.58,43.29,117.23
